timestamp,open,high,low,close,volume,trade_count,vwap
2016-01-04 05:00:00+00:00,142.06999999999999,142.34999999999999,139.88,142.28,3299774,28873,141.41475399999999
2016-01-05 05:00:00+00:00,143.13999999999999,143.30000000000001,137.21000000000001,137.52000000000001,3989971,33418,139.08331100000001
2016-01-06 05:00:00+00:00,134.56999999999999,136.06,132.28,133.28999999999999,5215415,43576,134.078566
2016-01-07 05:00:00+00:00,131.31,133.77000000000001,128.19,129.05000000000001,5323427,44029,130.50706
2016-01-08 05:00:00+00:00,130.03,133.46000000000001,128.06,128.19999999999999,6640522,49351,131.044871
2016-01-11 05:00:00+00:00,129.5,129.97,125.42,128.03999999999999,4073790,36511,127.54044399999999
2016-01-12 05:00:00+00:00,129.86000000000001,131.66999999999999,126.855,129.91999999999999,4336391,33476,129.10315700000001
2016-01-13 05:00:00+00:00,127.75,129.97999999999999,123.08,123.31,5006699,43670,125.607472
2016-01-14 05:00:00+00:00,124.19,126.6799,120.29000000000001,125.19,6581074,50024,124.21243699999999
2016-01-15 05:00:00+00:00,120.20999999999999,123.79000000000001,119.3,119.97,8188931,60391,120.82237000000001
2016-01-19 05:00:00+00:00,122.76000000000001,124.8,119.01000000000001,120.06999999999999,5658515,50434,121.07585899999999
2016-01-20 05:00:00+00:00,117.83,125.58,117.17,123.83,10566398,81771,121.86290200000001
2016-01-21 05:00:00+00:00,123.81,126,123.34999999999999,124.53,4968155,47473,124.909396
2016-01-22 05:00:00+00:00,126.48,126.48,124.23,124.51000000000001,6008297,43998,124.976435
2016-01-25 05:00:00+00:00,124.43000000000001,124.98,124,124.48999999999999,6253336,52263,124.454196
2016-01-26 05:00:00+00:00,125,126.50749999999999,124,124.39,12138793,94412,125.211455
2016-01-27 05:00:00+00:00,123.65000000000001,125.41,120.09,122.34999999999999,6035835,52287,122.525127
2016-01-28 05:00:00+00:00,122.94,126.55,122,126.37,5078767,50433,124.789276
2016-01-29 05:00:00+00:00,129.44,134.34,128.11000000000001,133.71000000000001,37114176,82339,133.427841
2016-02-01 05:00:00+00:00,133.34,138.69,132.96000000000001,137.68000000000001,4694815,40440,136.525623
2016-02-02 05:00:00+00:00,136.44999999999999,137.59,131.69999999999999,133.24000000000001,6184235,44427,133.13207199999999
2016-02-03 05:00:00+00:00,137.25,137.61000000000001,130.28999999999999,131.36000000000001,5882323,53964,132.13844700000001
