timestamp,open,high,low,close,volume,trade_count,vwap
2016-01-04 05:00:00+00:00,656.28999999999996,657.71500000000003,627.50999999999999,636.99000000000001,9616395,137283,639.368877
2016-01-05 05:00:00+00:00,646.86000000000001,646.90999999999997,627.64999999999998,633.78999999999996,5986947,72594,634.97914800000001
2016-01-06 05:00:00+00:00,622,639.78999999999996,620.30999999999995,632.64999999999998,5476659,67908,631.65048000000002
2016-01-07 05:00:00+00:00,621.79999999999995,630,605.21000000000004,607.94000000000005,7278655,92501,616.29373699999996
2016-01-08 05:00:00+00:00,619.65999999999997,624.13999999999999,606,607.04999999999995,5729208,71586,614.89475600000003
2016-01-11 05:00:00+00:00,612.48000000000002,619.85000000000002,598.57000000000005,617.74000000000001,5038692,62958,611.45909400000005
2016-01-12 05:00:00+00:00,625.25,625.99000000000001,612.24149999999997,617.88999999999999,5006073,58916,620.36052400000005
2016-01-13 05:00:00+00:00,620.88,620.88,579.15999999999997,581.80999999999995,8002307,100624,594.17290200000002
2016-01-14 05:00:00+00:00,580.25,602.25,569.88,593,7453181,86278,588.70783400000005
2016-01-15 05:00:00+00:00,572.24000000000001,584.62,565.29999999999995,570.17999999999995,8327314,95677,572.77990199999999
2016-01-19 05:00:00+00:00,577.09000000000003,584,566.45000000000005,574.48000000000002,5000056,62242,575.38699099999997
2016-01-20 05:00:00+00:00,564.36000000000001,578.45000000000005,547.17999999999995,571.76999999999998,8174655,100213,559.51224200000001
2016-01-21 05:00:00+00:00,573.58000000000004,588.80999999999995,568.22000000000003,575.01999999999998,5219051,64666,579.15845400000001
2016-01-22 05:00:00+00:00,588.73000000000002,600.10000000000002,584.10789999999997,596.38,5299865,62924,593.81607899999995
2016-01-25 05:00:00+00:00,597.99000000000001,608.5,594.55999999999995,596.52999999999997,4542970,57520,601.64271699999995
2016-01-26 05:00:00+00:00,603.45000000000005,604.5,590.38,601.25,3911324,53542,597.58346500000005
2016-01-27 05:00:00+00:00,601.99000000000001,603.38999999999999,578.77999999999997,583.35000000000002,5343567,68559,588.71409300000005
2016-01-28 05:00:00+00:00,608.37,638.05999999999995,597.54999999999995,635.35000000000002,14221286,188898,620.60570900000005
2016-01-29 05:00:00+00:00,571.98000000000002,593,570,587,15319628,190630,582.89394600000003
2016-02-01 05:00:00+00:00,578.14999999999998,581.79999999999995,570.30999999999995,574.80999999999995,6561120,76596,575.24662599999999
2016-02-02 05:00:00+00:00,570,571.55999999999995,550.09000000000003,552.10000000000002,6358221,81698,558.59250899999995
2016-02-03 05:00:00+00:00,553.5,556,521.89999999999998,531.07000000000005,10233213,123905,532.87456399999996
2016-02-04 05:00:00+00:00,525,538.99000000000001,519.2201,536.25999999999999,6408714,72838,530.06005800000003
