timestamp,open,high,low,close,volume,trade_count,vwap
2016-01-04 05:00:00+00:00,2.3599999999999999,2.46,2.3300000000000001,2.46,96053,474,2.4049109999999998
2016-01-05 05:00:00+00:00,2.46,2.5499999999999998,2.4100000000000001,2.54,148608,613,2.5085440000000001
2016-01-06 05:00:00+00:00,2.5,2.5800000000000001,2.3399999999999999,2.3599999999999999,185682,837,2.39236
2016-01-07 05:00:00+00:00,2.3100000000000001,2.3472,2.25,2.27,283318,1246,2.2958430000000001
2016-01-08 05:00:00+00:00,2.2999999999999998,2.3100000000000001,2.1800000000000002,2.1899999999999999,174767,959,2.2525300000000001
2016-01-11 05:00:00+00:00,2.1699999999999999,2.2000000000000002,2.0699999999999998,2.1600000000000001,166204,734,2.1306419999999999
2016-01-12 05:00:00+00:00,2.1899999999999999,2.2999999999999998,2.0800000000000001,2.1200000000000001,200008,1009,2.1823999999999999
2016-01-13 05:00:00+00:00,2.1699999999999999,2.1800000000000002,1.99,2.0499999999999998,183625,735,2.0846969999999998
2016-01-14 05:00:00+00:00,2.0499999999999998,2.2200000000000002,2,2.2000000000000002,187994,766,2.1119829999999999
2016-01-15 05:00:00+00:00,2.1600000000000001,2.1669999999999998,1.9799,2.0699999999999998,215337,1023,2.0624989999999999
2016-01-19 05:00:00+00:00,2.0899999999999999,2.0899999999999999,1.9675,1.98,250548,782,1.995052
2016-01-20 05:00:00+00:00,1.95,2.0099999999999998,1.8601000000000001,2,309169,1296,1.9271579999999999
2016-01-21 05:00:00+00:00,2,2.1000000000000001,1.97,2.0800000000000001,121655,701,2.0549919999999999
2016-01-22 05:00:00+00:00,2.1400000000000001,2.2400000000000002,2.0834999999999999,2.1800000000000002,86048,451,2.1730649999999998
2016-01-25 05:00:00+00:00,2.1899999999999999,2.1899999999999999,2.02,2.0499999999999998,189391,612,2.0702060000000002
2016-01-26 05:00:00+00:00,2.0699999999999998,2.23,2.04,2.1899999999999999,132100,569,2.1498379999999999
2016-01-27 05:00:00+00:00,2.1699999999999999,2.2400000000000002,2.1000000000000001,2.1400000000000001,53440,232,2.1624919999999999
2016-01-28 05:00:00+00:00,2.1800000000000002,2.2200000000000002,2.0699999999999998,2.1000000000000001,84604,396,2.1156350000000002
2016-01-29 05:00:00+00:00,2.1000000000000001,2.2000000000000002,2.1000000000000001,2.1699999999999999,148911,652,2.166086
2016-02-01 05:00:00+00:00,2.1499999999999999,2.1499999999999999,2.04,2.1200000000000001,96240,600,2.116533
2016-02-02 05:00:00+00:00,1.75,1.8,1.3500000000000001,1.4099999999999999,1271509,3027,1.4448840000000001
2016-02-03 05:00:00+00:00,1.4199999999999999,1.48,1.26,1.3999999999999999,660477,1931,1.3833530000000001
2016-02-04 05:00:00+00:00,1.3899999999999999,1.45,1.3700000000000001,1.3999999999999999,339076,1336,1.4173500000000001
2016-02-05 05:00:00+00:00,1.3700000000000001,1.4434,1.28,1.3700000000000001,263516,900,1.3344039999999999
2016-02-08 05:00:00+00:00,1.3899999999999999,1.3999999999999999,1.25,1.26,364761,1360,1.3153889999999999
2016-02-09 05:00:00+00:00,1.25,1.349,1.22,1.24,191837,727,1.2623420000000001
2016-02-10 05:00:00+00:00,1.24,1.3200000000000001,1.22,1.23,125733,683,1.2724549999999999
2016-02-11 05:00:00+00:00,1.22,1.3899999999999999,1.22,1.28,180465,1104,1.2929980000000001
2016-02-12 05:00:00+00:00,1.3200000000000001,1.3300000000000001,1.22,1.3200000000000001,57596,369,1.291061
2016-02-16 05:00:00+00:00,1.3500000000000001,1.4400999999999999,1.3300000000000001,1.4099999999999999,230637,712,1.4005430000000001
2016-02-17 05:00:00+00:00,1.4299999999999999,1.6599999999999999,1.3600000000000001,1.6299999999999999,342868,1693,1.5141709999999999
2016-02-18 05:00:00+00:00,1.6299999999999999,1.71,1.5600000000000001,1.5900000000000001,247445,850,1.636047
2016-02-19 05:00:00+00:00,1.6100000000000001,1.6399999999999999,1.55,1.5700000000000001,169843,579,1.5852269999999999
2016-02-22 05:00:00+00:00,1.6399999999999999,1.8100000000000001,1.6000000000000001,1.76,249046,653,1.7123010000000001
2016-02-23 05:00:00+00:00,1.8,1.8200000000000001,1.675,1.73,160090,693,1.7407520000000001
2016-02-24 05:00:00+00:00,1.73,1.95,1.7,1.9299999999999999,204207,609,1.8387450000000001
2016-02-25 05:00:00+00:00,2,2.0299999999999998,1.8999999999999999,1.9399999999999999,155165,747,1.9671000000000001
2016-02-26 05:00:00+00:00,1.96,1.98,1.8500000000000001,1.96,98236,452,1.926614
