acquiree_cusip,acquiree_symbol,acquirer_cusip,acquirer_symbol,action_type,cusip,due_bill_redemption_date,effective_date,ex_date,foreign,id,new_rate,old_rate,payable_date,process_date,rate,record_date,source_array,special,symbol
,,,,cash_dividend,931142103,,,2023-12-07,False,8b7491b9-bf5a-490f-a803-9f6d029d2d65,,,2024-01-02,2024-01-02,0.57,2023-12-08,cash_dividends,False,WMT
,,,,cash_dividend,931142103,,,2024-03-14,False,f370ccad-8093-43f7-810a-a1cf1f0fa50b,,,2024-04-01,2024-04-01,0.2075,2024-03-15,cash_dividends,False,WMT
,,,,cash_dividend,931142103,,,2024-05-09,False,9050de97-06dc-4bbf-ba21-db6d0f2cce97,,,2024-05-28,2024-05-28,0.2075,2024-05-10,cash_dividends,False,WMT
,,,,cash_dividend,931142103,,,2024-08-16,False,f5587537-faf5-4b64-9ec6-e2fce5a0629f,,,2024-09-03,2024-09-03,0.2075,2024-08-16,cash_dividends,False,WMT
,,,,cash_dividend,931142103,,,2024-12-13,False,66c04053-0b8a-44ae-8f35-bd166f77c87a,,,2025-01-06,2025-01-06,0.2075,2024-12-13,cash_dividends,False,WMT
,,,,cash_dividend,931142103,,,2025-03-21,False,a954a8cc-0803-444b-9957-83905b008291,,,2025-04-07,2025-04-07,0.235,2025-03-21,cash_dividends,False,WMT
,,,,cash_dividend,931142103,,,2025-05-09,False,71c78076-df92-4608-b7d9-ca066f68aa4f,,,2025-05-27,2025-05-27,0.235,2025-05-09,cash_dividends,False,WMT
,,,,cash_dividend,931142103,,,2025-08-15,False,34062784-e1e8-4c4a-aecd-9bdb7312d7af,,,2025-09-02,2025-09-02,0.235,2025-08-15,cash_dividends,False,WMT
,,,,cash_dividend,931142103,,,2025-12-12,False,30ac9e62-036f-4327-83b0-c42e5a16e72d,,,2026-01-05,2026-01-05,0.235,2025-12-12,cash_dividends,False,WMT
,,,,cash_dividend,931142103,,,2026-03-20,False,d11d2a42-2c7b-4e3e-b096-04fbe2abdae2,,,2026-04-06,2026-04-06,0.2475,2026-03-20,cash_dividends,False,WMT
,,,,cash_dividend,931142103,,,2026-05-08,False,3049e6ec-eeed-486f-bf13-97fc44778a0a,,,2026-05-26,2026-05-26,0.2475,2026-05-08,cash_dividends,False,WMT
,,,,cash_dividend,931142103,,,2026-08-21,False,af00c359-cbb4-412c-a7e0-376ec5e95416,,,2026-09-08,2026-09-08,0.2475,2026-08-21,cash_dividends,False,WMT
92858V101,VZIO,931142103,WMT,cash_merger,,,2024-12-03,,,ee627c5f-4eca-4591-b06d-e09f6f8ffad0,,,,2024-12-03,11.5,,cash_mergers,,
,,,,forward_split,931142103,2024-02-27,,2024-02-26,,ec7c676a-2821-4ffb-b09d-5b8e0c086401,3.0,1.0,2024-02-23,2024-02-26,,2024-02-22,forward_splits,,WMT
