action_type,cusip,due_bill_redemption_date,ex_date,foreign,id,new_rate,old_rate,payable_date,process_date,rate,record_date,source_array,special,symbol
cash_dividend,037833100,,2024-05-10,False,9007ff08-a343-414c-9fae-61329343e86c,,,2024-05-16,2024-05-16,0.25,2024-05-13,cash_dividends,False,AAPL
cash_dividend,037833100,,2024-08-12,False,522935ff-af66-43d7-bdef-8569793a6b68,,,2024-08-15,2024-08-15,0.25,2024-08-12,cash_dividends,False,AAPL
cash_dividend,037833100,,2024-11-08,False,7edfcacd-0f07-4601-bbbf-c92a1044ea9f,,,2024-11-14,2024-11-14,0.25,2024-11-11,cash_dividends,False,AAPL
cash_dividend,037833100,,2025-02-10,False,f674743b-82d8-45a1-8511-70be39bb1940,,,2025-02-13,2025-02-13,0.25,2025-02-10,cash_dividends,False,AAPL
cash_dividend,037833100,,2025-05-12,False,4cc2f7d9-93f1-4204-8c37-0460669728d3,,,2025-05-15,2025-05-15,0.26,2025-05-12,cash_dividends,False,AAPL
cash_dividend,037833100,,2025-08-11,False,f19daa5f-9dd3-47fe-95a5-7aa1dd412436,,,2025-08-14,2025-08-14,0.26,2025-08-11,cash_dividends,False,AAPL
cash_dividend,037833100,,2025-11-10,False,add7c6e4-96ca-45a3-8de6-51a2e36db7d7,,,2025-11-13,2025-11-13,0.26,2025-11-10,cash_dividends,False,AAPL
cash_dividend,037833100,,2026-02-09,False,5f891a9b-393d-47ed-b449-b2306f13c63b,,,2026-02-12,2026-02-12,0.26,2026-02-09,cash_dividends,False,AAPL
cash_dividend,037833100,,2026-05-11,False,a2df24db-32ca-430e-98a9-f8c7992e3468,,,2026-05-14,2026-05-14,0.27,2026-05-11,cash_dividends,False,AAPL
cash_dividend,037833100,,2026-08-10,False,b1373f73-2e44-4947-931a-ffa630b4ea37,,,2026-08-13,2026-08-13,0.27,2026-08-10,cash_dividends,False,AAPL
forward_split,037833100,2020-09-01,2020-08-31,,d209b6c2-9231-474c-a80e-1a79dacadbb2,4.0,1.0,2020-08-28,2020-08-31,,2020-08-24,forward_splits,,AAPL
