acquiree_cusip,acquiree_rate,acquiree_symbol,acquirer_cusip,acquirer_rate,acquirer_symbol,action_type,cusip,effective_date,ex_date,foreign,id,new_cusip,new_symbol,old_cusip,old_symbol,payable_date,process_date,rate,record_date,source_array,special,symbol
,,,,,,cash_dividend,30231G102,,2023-08-15,False,32317125-0610-4017-a00e-5aafcbaa879a,,,,,2023-09-11,2023-09-11,0.91,2023-08-16,cash_dividends,False,XOM
,,,,,,cash_dividend,30231G102,,2023-11-14,False,b9984a76-3404-4d1a-84bb-59edc0733007,,,,,2023-12-11,2023-12-11,0.95,2023-11-15,cash_dividends,False,XOM
,,,,,,cash_dividend,30231G102,,2024-02-13,False,f75feaf3-d443-409f-93a1-10051fc653ce,,,,,2024-03-11,2024-03-11,0.95,2024-02-14,cash_dividends,False,XOM
,,,,,,cash_dividend,30231G102,,2024-05-14,False,18d03ead-9184-44f2-8335-aa8dd4051c30,,,,,2024-06-10,2024-06-10,0.95,2024-05-15,cash_dividends,False,XOM
,,,,,,cash_dividend,30231G102,,2024-08-15,False,c5b19d58-ad9d-4d54-9fc1-39aa02205adb,,,,,2024-09-10,2024-09-10,0.95,2024-08-15,cash_dividends,False,XOM
,,,,,,cash_dividend,30231G102,,2024-11-14,False,783679be-525d-4d18-a5fc-62aaad3252c6,,,,,2024-12-10,2024-12-10,0.99,2024-11-14,cash_dividends,False,XOM
,,,,,,cash_dividend,30231G102,,2025-02-12,False,80b08333-c258-4dc5-a58c-9a2966ed303f,,,,,2025-03-10,2025-03-10,0.99,2025-02-12,cash_dividends,False,XOM
,,,,,,cash_dividend,30231G102,,2025-05-15,False,e951f0a6-b49c-492e-922a-7d1bbd2b2ab0,,,,,2025-06-10,2025-06-10,0.99,2025-05-15,cash_dividends,False,XOM
,,,,,,cash_dividend,30231G102,,2025-08-15,False,4678f638-99c7-4d18-b01d-1eeca6555b50,,,,,2025-09-10,2025-09-10,0.99,2025-08-15,cash_dividends,False,XOM
,,,,,,cash_dividend,30231G102,,2025-11-14,False,6a8377eb-e432-4d2c-ac96-9d66683a8b6d,,,,,2025-12-10,2025-12-10,1.03,2025-11-14,cash_dividends,False,XOM
,,,,,,cash_dividend,30231G102,,2026-02-12,False,349d3e09-eaf0-49d1-be60-2de571045023,,,,,2026-03-10,2026-03-10,1.03,2026-02-12,cash_dividends,False,XOM
,,,,,,cash_dividend,30231G102,,2026-05-15,False,15048505-3db5-4bbb-8f34-a97c56bcc80d,,,,,2026-06-10,2026-06-10,1.03,2026-05-15,cash_dividends,False,XOM
,,,,,,cash_dividend,30233Q108,,2026-08-17,False,e6bc38d2-0d75-4169-85d2-4edcd1f549f7,,,,,2026-09-10,2026-09-10,1.03,2026-08-17,cash_dividends,False,XOM
,,,,,,name_change,,,,,71daae23-2985-4549-870e-a6d678474b6b,30233Q108,XOM,30231G102,XOM,,2026-07-02,,,name_changes,,
24790A101,1.0,DEN,30231G102,0.84,XOM,stock_merger,,2023-11-02,,,6f6688f4-3fde-4886-89e4-26a50f0f52a2,,,,,2023-11-02,2023-11-02,,,stock_mergers,,
723787107,1.0,PXD,30231G102,2.3234,XOM,stock_merger,,2024-05-03,,,db28e8a7-66f6-4c76-ba9c-e87b3060edcd,,,,,2024-05-03,2024-05-03,,,stock_mergers,,
