acquiree_cusip,acquiree_symbol,acquirer_cusip,acquirer_symbol,action_type,cusip,effective_date,ex_date,foreign,id,payable_date,process_date,rate,record_date,source_array,special,symbol
,,,,cash_dividend,437076102,,2024-05-30,False,0e78a16b-42c6-4829-b6ee-58277f7df9ec,2024-06-13,2024-06-13,2.25,2024-05-30,cash_dividends,False,HD
,,,,cash_dividend,437076102,,2024-08-29,False,edcecc26-f73a-40d9-bb27-d7677c9fcd4b,2024-09-12,2024-09-12,2.25,2024-08-29,cash_dividends,False,HD
,,,,cash_dividend,437076102,,2024-11-27,False,57b8819c-cbbc-4058-a6c7-5daa4cb8b49a,2024-12-12,2024-12-12,2.25,2024-11-27,cash_dividends,False,HD
,,,,cash_dividend,437076102,,2025-03-13,False,d4135e7f-0b31-4c39-85fc-eb455dae09ad,2025-03-27,2025-03-27,2.3,2025-03-13,cash_dividends,False,HD
,,,,cash_dividend,437076102,,2025-06-05,False,dab382a2-9ac9-44a0-835b-fe14f0e0a1db,2025-06-18,2025-06-18,2.3,2025-06-05,cash_dividends,False,HD
,,,,cash_dividend,437076102,,2025-09-04,False,3ea8472b-e4c6-419a-b318-d4d0c4fe3bf4,2025-09-18,2025-09-18,2.3,2025-09-04,cash_dividends,False,HD
,,,,cash_dividend,437076102,,2025-12-04,False,ecbe5a01-1f2e-43f5-a022-9b0d39806952,2025-12-18,2025-12-18,2.3,2025-12-04,cash_dividends,False,HD
,,,,cash_dividend,437076102,,2026-03-12,False,3754f863-88a9-4dee-8699-dbc15e39e7f3,2026-03-26,2026-03-26,2.33,2026-03-12,cash_dividends,False,HD
,,,,cash_dividend,437076102,,2026-06-04,False,1cfba50f-18b6-4d0d-8c87-649ed00098cc,2026-06-18,2026-06-18,2.33,2026-06-04,cash_dividends,False,HD
,,,,cash_dividend,437076102,,2026-09-03,False,0521d4e4-b773-4935-9b6d-fcf8aa92c11c,2026-09-17,2026-09-17,2.33,2026-09-03,cash_dividends,False,HD
40416M105,HDS,437076102,HD,cash_merger,,2020-12-24,,,9c75a9d0-1799-420a-8ffe-162a09dc7eab,,2020-12-24,56.0,,cash_mergers,,
36251C103,GMS,437076102,HD,cash_merger,,2025-09-04,,,e82bf905-289b-4e35-8c4c-ed3b257e9ee9,2025-09-05,2025-09-05,110.0,,cash_mergers,,
