acquiree_cusip,acquiree_rate,acquiree_symbol,acquirer_cusip,acquirer_rate,acquirer_symbol,action_type,cusip,effective_date,ex_date,foreign,id,payable_date,process_date,rate,record_date,source_array,special,symbol
,,,,,,cash_dividend,48251W104,,2023-11-16,False,56bee7c8-22e9-4cea-aaeb-8e7e445487aa,2023-12-01,2023-12-01,0.165,2023-11-17,cash_dividends,False,KKR
,,,,,,cash_dividend,48251W104,,2024-02-15,False,2db4f6cc-3c77-4409-bb31-9c7ecdbd16cf,2024-03-01,2024-03-01,0.165,2024-02-16,cash_dividends,False,KKR
,,,,,,cash_dividend,48251W104,,2024-05-10,False,431e4838-abb1-440c-8c04-2156f83ce7da,2024-05-28,2024-05-28,0.175,2024-05-13,cash_dividends,False,KKR
,,,,,,cash_dividend,48251W104,,2024-08-12,False,f7a28903-a5fb-4eee-a597-4cea667eb08b,2024-08-27,2024-08-27,0.175,2024-08-12,cash_dividends,False,KKR
,,,,,,cash_dividend,48251W104,,2024-11-04,False,b92ecdbd-1785-42be-be8d-5d54d36d5612,2024-11-19,2024-11-19,0.175,2024-11-04,cash_dividends,False,KKR
,,,,,,cash_dividend,48251W104,,2025-02-14,False,6fab4cde-1d86-4818-a551-524580d99f08,2025-02-28,2025-02-28,0.175,2025-02-14,cash_dividends,False,KKR
,,,,,,cash_dividend,48251W104,,2025-05-12,False,e961aee5-cdc7-466a-a791-f2f76d32fce3,2025-05-27,2025-05-27,0.185,2025-05-12,cash_dividends,False,KKR
,,,,,,cash_dividend,48251W104,,2025-08-11,False,05af532b-348a-43e8-9aec-0132f66d0c06,2025-08-26,2025-08-26,0.185,2025-08-11,cash_dividends,False,KKR
,,,,,,cash_dividend,48251W104,,2025-11-17,False,3063cfa9-af06-4e43-9551-cbdb5bf6d249,2025-12-02,2025-12-02,0.185,2025-11-17,cash_dividends,False,KKR
,,,,,,cash_dividend,48251W104,,2026-02-17,False,6d2b712b-4f59-4112-b466-9ece01bf3100,2026-03-03,2026-03-03,0.185,2026-02-17,cash_dividends,False,KKR
,,,,,,cash_dividend,48251W104,,2026-05-15,False,5f99009c-9264-463c-b685-938ea58660a3,2026-05-29,2026-05-29,0.195,2026-05-15,cash_dividends,False,KKR
,,,,,,cash_dividend,48251W104,,2026-08-10,False,1581165c-dc2d-4ca2-bd69-b0e89b390fb6,2026-08-25,2026-08-25,0.195,2026-08-10,cash_dividends,False,KKR
48251W104,1.0,KKR,48251W104,1.0,KKR,stock_merger,,2022-05-31,,,ae80f4d9-36a2-4b53-abe4-7a46d47cac5f,,2022-05-31,,,stock_mergers,,
