acquiree_cusip,acquiree_rate,acquiree_symbol,acquirer_cusip,acquirer_rate,acquirer_symbol,action_type,cusip,effective_date,ex_date,foreign,id,new_cusip,new_symbol,old_cusip,old_symbol,payable_date,process_date,rate,record_date,source_array,special,symbol
,,,,,,cash_dividend,71943U104,,2023-04-03,False,fc352e5f-672c-4bd3-ba5b-346ad8c0d017,,,,,2023-04-18,2023-04-18,0.23,2023-04-04,cash_dividends,False,DOC
,,,,,,cash_dividend,71943U104,,2023-07-03,False,56eee362-7346-4d73-a767-7e1024d91109,,,,,2023-07-18,2023-07-18,0.23,2023-07-05,cash_dividends,False,DOC
,,,,,,cash_dividend,71943U104,,2023-10-02,False,839766d5-07b2-4183-a998-408d1cefaf84,,,,,2023-10-17,2023-10-17,0.23,2023-10-03,cash_dividends,False,DOC
,,,,,,cash_dividend,71943U104,,2024-01-02,False,648b040a-f6d4-4159-b271-5bf7424c0689,,,,,2024-01-18,2024-01-18,0.23,2024-01-03,cash_dividends,False,DOC
,,,,,,cash_dividend,42250P103,,2024-05-03,False,df8371b3-ae90-401c-887e-81a417b0e9da,,,,,2024-05-17,2024-05-17,0.3,2024-05-06,cash_dividends,False,DOC
,,,,,,cash_dividend,42250P103,,2024-08-05,False,f1817381-89b0-4d84-9896-fe0732497ac8,,,,,2024-08-16,2024-08-16,0.3,2024-08-05,cash_dividends,False,DOC
,,,,,,cash_dividend,42250P103,,2024-11-04,False,c3048bd5-13a4-4314-9086-900c190f63eb,,,,,2024-11-15,2024-11-15,0.3,2024-11-04,cash_dividends,False,DOC
,,,,,,cash_dividend,42250P103,,2025-02-14,False,16f27e0b-a834-4ad7-80ac-87c096c438ab,,,,,2025-02-26,2025-02-26,0.305,2025-02-14,cash_dividends,False,DOC
,,,,,,cash_dividend,42250P103,,2025-04-17,False,a9db62e5-a89a-4ffb-84fc-e10613660326,,,,,2025-04-30,2025-04-30,0.10167,2025-04-17,cash_dividends,False,DOC
,,,,,,cash_dividend,42250P103,,2025-05-19,False,e240d2b1-dd66-4546-a9fd-cb58da40c54c,,,,,2025-05-30,2025-05-30,0.10167,2025-05-19,cash_dividends,False,DOC
,,,,,,cash_dividend,42250P103,,2025-06-16,False,ab28fa70-424b-4490-8b93-8baf336ebdfa,,,,,2025-06-27,2025-06-27,0.10167,2025-06-16,cash_dividends,False,DOC
,,,,,,cash_dividend,42250P103,,2025-07-18,False,0f20074f-ad4e-40e8-8a37-5dcf2100f353,,,,,2025-07-31,2025-07-31,0.10167,2025-07-18,cash_dividends,False,DOC
,,,,,,cash_dividend,42250P103,,2025-08-18,False,26249850-7035-4222-9641-0d656488fdaa,,,,,2025-08-29,2025-08-29,0.10167,2025-08-18,cash_dividends,False,DOC
,,,,,,cash_dividend,42250P103,,2025-09-19,False,20c60fdf-cabb-42ac-ae83-2a5b556405b1,,,,,2025-09-30,2025-09-30,0.10167,2025-09-19,cash_dividends,False,DOC
,,,,,,cash_dividend,42250P103,,2025-10-17,False,41d8e9bf-b096-4d29-bd89-3b2e5cddbc3d,,,,,2025-10-30,2025-10-30,0.10167,2025-10-17,cash_dividends,False,DOC
,,,,,,cash_dividend,42250P103,,2025-11-14,False,d5addac4-0f8e-4af1-8728-94d98d5ded97,,,,,2025-11-26,2025-11-26,0.10167,2025-11-14,cash_dividends,False,DOC
,,,,,,cash_dividend,42250P103,,2025-12-19,False,f346e197-2891-4817-b2a0-53e02b50837a,,,,,2025-12-30,2025-12-30,0.10167,2025-12-19,cash_dividends,False,DOC
,,,,,,cash_dividend,42250P103,,2026-01-16,False,aa83fdaf-c3ea-44f6-a46e-e2d66fbed7f2,,,,,2026-01-30,2026-01-30,0.10167,2026-01-16,cash_dividends,False,DOC
,,,,,,cash_dividend,42250P103,,2026-02-13,False,a5a5aaa1-60e4-46d0-8338-2240cd386189,,,,,2026-02-27,2026-02-27,0.10167,2026-02-13,cash_dividends,False,DOC
,,,,,,cash_dividend,42250P103,,2026-03-17,False,aa13f155-97d8-44a2-a70c-e0fddbe10dc0,,,,,2026-03-31,2026-03-31,0.10167,2026-03-17,cash_dividends,False,DOC
,,,,,,cash_dividend,42250P103,,2026-04-17,False,f702ae59-1c8c-4a34-badb-705c6ae855c3,,,,,2026-04-30,2026-04-30,0.10167,2026-04-17,cash_dividends,False,DOC
,,,,,,cash_dividend,42250P103,,2026-05-18,False,ef1c9b24-8c2a-4d5a-a186-c8ea9d049a7f,,,,,2026-05-29,2026-05-29,0.10167,2026-05-18,cash_dividends,False,DOC
,,,,,,cash_dividend,42250P103,,2026-06-15,False,ff2de5ed-7a18-4dd1-be7a-5dc067e6f2cc,,,,,2026-06-26,2026-06-26,0.10167,2026-06-15,cash_dividends,False,DOC
,,,,,,cash_dividend,42250P103,,2026-07-20,False,aedddbaa-0ad3-47db-8e55-2a8a2fa83987,,,,,2026-07-31,2026-07-31,0.10167,2026-07-20,cash_dividends,False,DOC
,,,,,,cash_dividend,42250P103,,2026-08-17,False,8d929a0c-f6dc-4312-8345-ff76739a8f7f,,,,,2026-08-28,2026-08-28,0.10167,2026-08-17,cash_dividends,False,DOC
,,,,,,name_change,,,,,cb999315-b053-4071-aee2-1b224217600d,42250P103,DOC,42250P103,PEAK,,2024-03-04,,,name_changes,,
,,,,,,name_change,,,,,80dc492b-d834-4282-8136-a3d4b209a12f,42250P103,DOC,71943U104,DOC,,2026-01-30,,,name_changes,,
71943U104,1.0,DOC,42250P103,0.674,PEAK,stock_merger,,2024-03-01,,,93d0cf80-ee34-4a91-a451-0c699386fc27,,,,,2024-03-01,2024-03-01,,,stock_mergers,,
