acquiree_cusip,acquiree_rate,acquiree_symbol,acquirer_cusip,acquirer_rate,acquirer_symbol,action_type,cash_rate,cusip,effective_date,ex_date,foreign,id,payable_date,process_date,rate,record_date,source_array,special,symbol
,,,,,,cash_dividend,,55306N104,,2023-11-24,False,83c1d882-e70c-4091-87f1-84e7dfeae3af,2023-12-08,2023-12-08,0.22,2023-11-27,cash_dividends,False,MKSI
,,,,,,cash_dividend,,55306N104,,2024-02-23,False,63408e2e-ad79-41f0-b8b5-33b33573568b,2024-03-08,2024-03-08,0.22,2024-02-26,cash_dividends,False,MKSI
,,,,,,cash_dividend,,55306N104,,2024-05-24,False,c4563805-7ccb-49ad-b0fb-636e929439c2,2024-06-07,2024-06-07,0.22,2024-05-28,cash_dividends,False,MKSI
,,,,,,cash_dividend,,55306N104,,2024-08-26,False,ada88d9b-febd-49a5-a755-63c8a22843f7,2024-09-06,2024-09-06,0.22,2024-08-26,cash_dividends,False,MKSI
,,,,,,cash_dividend,,55306N104,,2024-11-25,False,aa370d48-aeae-4055-bcd3-93e9b25f7f37,2024-12-06,2024-12-06,0.22,2024-11-25,cash_dividends,False,MKSI
,,,,,,cash_dividend,,55306N104,,2025-02-24,False,9fcc59e2-a9c1-44b5-a720-7bfd8ca7f583,2025-03-07,2025-03-07,0.22,2025-02-24,cash_dividends,False,MKSI
,,,,,,cash_dividend,,55306N104,,2025-05-27,False,8c0e2811-b548-4f71-bf3f-ad7765ef96ed,2025-06-06,2025-06-06,0.22,2025-05-27,cash_dividends,False,MKSI
,,,,,,cash_dividend,,55306N104,,2025-08-25,False,fc3e7246-ddcb-4f82-9f1a-95b3aa3de649,2025-09-05,2025-09-05,0.22,2025-08-25,cash_dividends,False,MKSI
,,,,,,cash_dividend,,55306N104,,2025-11-24,False,2748a79a-88a9-4121-bfcb-209a7b63938d,2025-12-05,2025-12-05,0.22,2025-11-24,cash_dividends,False,MKSI
,,,,,,cash_dividend,,55306N104,,2026-02-23,False,37c3034e-873e-477b-ae18-8e4107ceac71,2026-03-06,2026-03-06,0.25,2026-02-23,cash_dividends,False,MKSI
,,,,,,cash_dividend,,55306N104,,2026-06-03,False,307bbad2-30dd-4d60-89de-fba5c1ca72fb,2026-06-12,2026-06-12,0.25,2026-06-03,cash_dividends,False,MKSI
,,,,,,cash_dividend,,55306N104,,2026-08-25,False,1ae9de50-6d14-4942-ae6c-189f43a5c4fe,2026-09-03,2026-09-03,0.25,2026-08-25,cash_dividends,False,MKSI
G0625A105,1.0,ATC,55306N104,0.0552,MKSI,stock_and_cash_merger,16.2,,2022-08-17,,,6449fab8-30be-4141-a6f6-155642461893,,2022-08-17,,,stock_and_cash_mergers,,
