action_type,cusip,due_bill_redemption_date,ex_date,id,new_rate,old_rate,payable_date,process_date,record_date,source_array,symbol
forward_split,88160R101,2020-09-01,2020-08-31,1dbc7685-9517-4a77-a236-8527d49cefdc,5,1,2020-08-28,2020-08-31,2020-08-21,forward_splits,TSLA
forward_split,88160R101,2022-08-26,2022-08-25,f8489167-4e4b-431d-a0be-6017ae1cf08a,3,1,2022-08-24,2022-08-25,2022-08-17,forward_splits,TSLA
