action_type,cusip,ex_date,foreign,id,new_cusip,new_symbol,old_cusip,old_symbol,process_date,rate,source_array,special,symbol
cash_dividend,,2016-01-29,False,2b4b1aed-7273-4c67-b3e8-26bb580f26c4,,,,,2016-01-29,0.685,cash_dividends,False,CLMT
name_change,,,,8cf22f3e-0b1d-4f98-be39-226c120a5917,131428104,CLMT,131476103,CLMT,2024-07-11,,name_changes,,
