acquiree_cusip,acquiree_symbol,acquirer_cusip,acquirer_symbol,action_type,cusip,due_bill_redemption_date,effective_date,ex_date,foreign,id,new_rate,old_rate,payable_date,process_date,rate,record_date,source_array,special,symbol
,,,,cash_dividend,67066G104,,,2023-12-05,False,aa4f9cfa-e38f-459d-a060-7173b2a19476,,,2023-12-28,2023-12-28,0.04,2023-12-06,cash_dividends,False,NVDA
,,,,cash_dividend,67066G104,,,2024-03-05,False,81ece9d6-8e02-4be3-a090-634d3e3f8f95,,,2024-03-27,2024-03-27,0.04,2024-03-06,cash_dividends,False,NVDA
,,,,cash_dividend,67066G104,,,2024-06-11,False,034a1fb6-d381-451f-aa76-ae3f1e151fed,,,2024-06-28,2024-06-28,0.01,2024-06-11,cash_dividends,False,NVDA
,,,,cash_dividend,67066G104,,,2024-09-12,False,9348eb05-9a41-43bc-9ba7-dbe497e98213,,,2024-10-03,2024-10-03,0.01,2024-09-12,cash_dividends,False,NVDA
,,,,cash_dividend,67066G104,,,2024-12-05,False,74cd9151-b7cb-4264-847b-65e9f655a35e,,,2024-12-27,2024-12-27,0.01,2024-12-05,cash_dividends,False,NVDA
,,,,cash_dividend,67066G104,,,2025-03-12,False,319ffd3d-16ab-45cc-8918-9a782d417482,,,2025-04-02,2025-04-02,0.01,2025-03-12,cash_dividends,False,NVDA
,,,,cash_dividend,67066G104,,,2025-06-11,False,e1d7eebe-877b-4476-8774-a120c9af1562,,,2025-07-03,2025-07-03,0.01,2025-06-11,cash_dividends,False,NVDA
,,,,cash_dividend,67066G104,,,2025-09-11,False,73e9164b-d300-4654-aab6-46228c859f8f,,,2025-10-02,2025-10-02,0.01,2025-09-11,cash_dividends,False,NVDA
,,,,cash_dividend,67066G104,,,2025-12-04,False,351c65cc-3fec-450c-b371-4bfd4abe6109,,,2025-12-26,2025-12-26,0.01,2025-12-04,cash_dividends,False,NVDA
,,,,cash_dividend,67066G104,,,2026-03-11,False,96449ce1-8591-4077-9226-3715a2a0d52d,,,2026-04-01,2026-04-01,0.01,2026-03-11,cash_dividends,False,NVDA
,,,,cash_dividend,67066G104,,,2026-06-04,False,9c63cabb-3271-4766-ba9e-19698938c6c0,,,2026-06-26,2026-06-26,0.25,2026-06-04,cash_dividends,False,NVDA
M51363113,MLNX,67066G104,NVDA,cash_merger,,,2020-04-27,,,b7e59338-5d09-4266-aa2d-4bb5c78ea43d,,,,2020-04-27,125.0,,cash_mergers,,
,,,,forward_split,67066G104,2021-07-21,,2021-07-20,,b93f81c1-62e4-4584-aafe-40008e527d12,4.0,1.0,2021-07-19,2021-07-20,,2021-06-21,forward_splits,,NVDA
,,,,forward_split,67066G104,2024-06-10,,2024-06-10,,50199fac-0af8-43ef-9846-eaf64c6d322d,10.0,1.0,2024-06-10,2024-06-10,,2024-06-07,forward_splits,,NVDA
